time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Activity
2025-11-21 14:33:00.075457+00:00,0.0679,0.3072,0.9688,0.0294,-0.0511,0.0048,-0.0029,-0.1549,-0.0644,190.9656,-18.2982,4.3326,Sit
2025-11-21 14:33:00.175451+00:00,0.0479,0.3047,0.9503,-0.1765,0.0722,-0.1211,-0.0127,-0.0522,-0.0547,191.7872,-17.7291,3.7193,Sit
2025-11-21 14:33:00.275843+00:00,0.0474,0.2984,0.9869,-0.0571,0.0331,0.2149,-0.0493,0.0015,0.0663,192.3176,-17.1016,3.1357,Sit
2025-11-21 14:33:00.376200+00:00,0.0371,0.292,0.9459,-0.0882,0.0179,-0.0914,-0.0823,0.0101,-0.0131,191.9264,-17.2526,3.0546,Sit
2025-11-21 14:33:00.476366+00:00,0.0625,0.2954,0.9386,0.132,0.0565,-0.0936,-0.0127,-0.0021,-0.029,191.9371,-17.2955,3.0427,Sit
2025-11-21 14:33:00.576563+00:00,0.0596,0.2979,0.9332,0.1013,-0.0081,-0.0842,0.024,0.0247,-0.0034,191.8107,-17.35,3.0231,Sit
2025-11-21 14:33:00.676797+00:00,0.0591,0.3023,0.9454,0.0743,0.0221,0.1379,0.0814,0.1542,0.0076,191.8787,-17.4123,2.8607,Sit
2025-11-21 14:33:00.776973+00:00,0.023,0.2891,0.9576,-0.2197,-0.1125,0.1308,-0.0224,0.0602,-0.0192,192.1836,-17.6519,2.6578,Sit
2025-11-21 14:33:00.877063+00:00,0.0205,0.2901,0.9298,-0.1774,-0.1182,-0.0891,0.0533,-0.0571,-0.0009,192.3986,-17.6244,2.4327,Sit
2025-11-21 14:33:00.977240+00:00,0.0552,0.292,0.9508,0.1198,0.0431,0.0312,-0.0518,-0.1891,-0.0987,192.341,-17.5935,2.8399,Sit
2025-11-21 14:33:01.077594+00:00,0.0972,0.315,0.9098,0.3158,0.1504,-0.265,0.035,-0.2746,-0.2538,192.9266,-17.8037,4.0223,Sit
